review_id,application_id,decision,review_comment,review_date,reviewed_by
REV275646,APP70627147,APPROVED,Approved after manual PAN check.,2025-05-14,Alisha Duffy
REV510101,APP36704870,APPROVED,"All documents verified, cleared for activation.",09-21-2025,Alisha Duffy
REV840318,APP83172930,Approved,"All documents verified, cleared for activation.",2026-01-08,Alisha Duffy
REV031745,APP16658981,APPROVED,"All documents verified, cleared for activation.",02/04/2025,Lance Mitchell MD
REV312852,APP07322302,APPROVED,"All documents verified, cleared for activation.",21-Jan-2025,Jose White
REV062223,APP17402714,approved,"KYC matches, no red flags.",2025-01-17 13:54:44,Grant Glass
REV865615,APP28392547,Approved,"All documents verified, cleared for activation.",11-29-2025,Catherine James
REV744456,APP27476186,APPROVED,Approved after manual PAN check.,02-25-2026,Robin Coleman
REV249354,APP20051534,APPROVED,"All documents verified, cleared for activation.",07-09-2025,Alisha Duffy
REV327699,APP46683037,Approved,Approved after manual PAN check.,2026-01-06 06:22:34,Lance Mitchell MD
REV366281,APP40825152,approved,"All documents verified, cleared for activation.",28-Jun-2026,James Barrett
REV695150,APP86395528,approved,"All documents verified, cleared for activation.",2025-06-07,Alisha Duffy
REV653716,APP95365095,approved,"KYC matches, no red flags.",2025-05-15 03:27:51,James Barrett
REV903030,APP63642670,Approved,"KYC matches, no red flags.",2025-07-22,James Barrett
REV367144,APP97341018,APPROVED,"All documents verified, cleared for activation.",2026-01-11,Robin Coleman
REV594098,APP46263912,Approved,Approved after manual PAN check.,18/12/2025,Grant Glass
REV549512,APP83598655,approved,Approved after manual PAN check.,09-Mar-2026,Alisha Duffy
REV174672,APP39178570,approved,"All documents verified, cleared for activation.",05/02/2026,Robin Coleman
REV255279,APP63107696,APPROVED,"KYC matches, no red flags.",04-Nov-2025,James Barrett
REV116324,APP82487688,approved,"KYC matches, no red flags.",2026-06-09 07:36:02,Alisha Duffy
REV801024,APP85009905,APPROVED,"All documents verified, cleared for activation.",2026-03-01,Alisha Duffy
REV795017,APP12053751,Approved,Approved after manual PAN check.,2025-07-26,James Barrett
REV624520,APP99609369,Approved,"All documents verified, cleared for activation.",08-Sep-2025,Grant Glass
REV517361,APP75137515,Approved,"All documents verified, cleared for activation.",2025-08-29,Alisha Duffy
REV498555,APP92242644,approved,"All documents verified, cleared for activation.",23-Feb-2025,Alisha Duffy
REV445935,APP77996651,Approved,"KYC matches, no red flags.",08-Jul-2025,Alisha Duffy
REV580788,APP43265027,APPROVED,"KYC matches, no red flags.",2025-08-16 05:28:02,Robin Coleman
REV434953,APP03747678,approved,Approved after manual PAN check.,2025-10-29 21:15:05,Catherine James
REV017299,APP01835507,APPROVED,Approved after manual PAN check.,2025-02-09 01:02:24,James Barrett
REV712306,APP16261166,APPROVED,"All documents verified, cleared for activation.",2025-01-27 18:05:59,James Barrett
REV493708,APP43080046,approved,"All documents verified, cleared for activation.",10-04-2025,Donna Long
REV531478,APP30462269,approved,"All documents verified, cleared for activation.",2025-03-31,Catherine James
REV508001,APP86827130,APPROVED,"KYC matches, no red flags.",19-Sep-2025,Donna Long
REV568811,APP10732129,Approved,Approved after manual PAN check.,2025-04-27,Catherine James
REV709155,APP25415340,approved,"All documents verified, cleared for activation.",12/01/2025,Jose White
REV530371,APP69256390,approved,Approved after manual PAN check.,2025-10-25,Grant Glass
REV290397,APP53936487,approved,"KYC matches, no red flags.",28-Mar-2025,Lance Mitchell MD
REV371547,APP37851887,APPROVED,"KYC matches, no red flags.",19/05/2026,Grant Glass
REV716964,APP37337469,approved,"KYC matches, no red flags.",2026-04-26 07:41:01,James Barrett
REV788369,APP09279265,Approved,"All documents verified, cleared for activation.",04-04-2025,James Barrett
REV929371,APP41847268,APPROVED,"KYC matches, no red flags.",21-Aug-2025,Lance Mitchell MD
REV891533,APP81487665,approved,"KYC matches, no red flags.",09-03-2025,Lance Mitchell MD
REV949797,APP86449769,approved,Approved after manual PAN check.,2025-01-07,Catherine James
REV860601,APP45795091,Approved,"KYC matches, no red flags.",01-Jun-2026,Jose White
REV084719,APP97315250,APPROVED,Approved after manual PAN check.,2026-02-01,Alisha Duffy
REV663996,APP91087129,APPROVED,Approved after manual PAN check.,2025-01-11 16:46:28,Jose White
REV649846,APP79748143,APPROVED,"All documents verified, cleared for activation.",2025-03-26,Jose White
REV276586,APP74200884,Approved,Approved after manual PAN check.,06-29-2025,Robin Coleman
REV181871,APP31396360,approved,Approved after manual PAN check.,2025-05-17,Alisha Duffy
REV391949,APP74119611,approved,Approved after manual PAN check.,18-Feb-2025,James Barrett
REV603770,APP05844930,approved,"KYC matches, no red flags.",2025-07-20 00:40:29,Jose White
REV058314,APP73802819,Approved,"KYC matches, no red flags.",20/02/2025,Robin Coleman
REV748281,APP49565769,APPROVED,"KYC matches, no red flags.",12-25-2025,Donna Long
REV461871,APP99201400,Approved,"KYC matches, no red flags.",2025-02-11 15:52:29,Grant Glass
REV329502,APP37579077,APPROVED,,2026-06-04,Robin Coleman
REV548412,APP54673309,APPROVED,"KYC matches, no red flags.",28-Dec-2025,Robin Coleman
REV134739,APP94038412,APPROVED,"All documents verified, cleared for activation.",01-29-2025,Alisha Duffy
REV985768,APP26315855,Approved,Approved after manual PAN check.,16-Jan-2025,James Barrett
REV016232,APP46424947,approved,"KYC matches, no red flags.",16-Jan-2026,James Barrett
REV332168,APP72259367,Approved,"KYC matches, no red flags.",03-07-2025,Alisha Duffy
REV495351,APP26649987,approved,"KYC matches, no red flags.",18-Oct-2025,Alisha Duffy
REV668257,APP45819900,Approved,"All documents verified, cleared for activation.",25/03/2025,Donna Long
REV589100,APP94167557,approved,"KYC matches, no red flags.",2025-01-24 15:38:59,Grant Glass
REV602727,APP10225217,APPROVED,"All documents verified, cleared for activation.",22/04/2026,Donna Long
REV346513,APP08294077,Approved,Approved after manual PAN check.,2025-06-03 12:06:43,Catherine James
REV853986,APP37502677,Approved,"All documents verified, cleared for activation.",28-Jan-2025,Catherine James
REV594764,APP95940343,Approved,Approved after manual PAN check.,2025-04-24,Catherine James
REV560149,APP74523544,approved,"KYC matches, no red flags.",2025-04-05 00:18:38,Grant Glass
REV608577,APP95032941,approved,"KYC matches, no red flags.",02-10-2025,Grant Glass
REV532112,APP99601910,approved,"All documents verified, cleared for activation.",13/05/2025,Alisha Duffy
REV609407,APP71824908,approved,"KYC matches, no red flags.",15-Feb-2025,James Barrett
REV389846,APP25322447,APPROVED,Approved after manual PAN check.,2025-09-24 01:36:28,Alisha Duffy
REV028425,APP01969907,approved,Approved after manual PAN check.,19/06/2026,Catherine James
REV351654,APP21427074,approved,"All documents verified, cleared for activation.",06-12-2026,Donna Long
REV443233,APP50928207,Approved,"KYC matches, no red flags.",2025-02-11 22:35:55,Catherine James
REV373318,APP41038916,Approved,"All documents verified, cleared for activation.",2025-03-18 20:33:05,Robin Coleman
REV339800,APP90011651,Approved,Approved after manual PAN check.,12-13-2025,Lance Mitchell MD
REV752686,APP50139651,approved,"KYC matches, no red flags.",11-24-2025,Jose White
REV496358,APP24084742,APPROVED,Approved after manual PAN check.,05-23-2026,Alisha Duffy
REV744188,APP84245224,approved,"All documents verified, cleared for activation.",2026-01-28,Jose White
REV751276,APP80380649,Approved,"KYC matches, no red flags.",14-Dec-2025,Lance Mitchell MD
REV691510,APP73669765,APPROVED,Approved after manual PAN check.,02-13-2025,Jose White
REV317976,APP86263394,approved,"KYC matches, no red flags.",01-28-2025,Catherine James
REV712824,APP45525391,approved,Approved after manual PAN check.,2025-07-27,Catherine James
REV863961,APP90250190,Approved,Approved after manual PAN check.,2025-11-19 08:39:09,Donna Long
REV843395,APP81580472,Approved,"All documents verified, cleared for activation.",2026-03-09 14:17:19,Catherine James
REV883510,APP67842039,approved,,01-12-2026,Lance Mitchell MD
REV875481,APP68733641,approved,"All documents verified, cleared for activation.",07-04-2025,Alisha Duffy
REV242698,APP52411967,Approved,"All documents verified, cleared for activation.",2026-03-05 11:43:09,Jose White
REV799559,APP58416056,APPROVED,,29-Sep-2025,Lance Mitchell MD
REV860556,APP40280999,APPROVED,,2025-03-24 07:08:23,Lance Mitchell MD
REV665023,APP56151866,Approved,"KYC matches, no red flags.",31-May-2025,Robin Coleman
REV292104,APP37864842,Approved,"KYC matches, no red flags.",2025-05-08,James Barrett
REV323733,APP46691789,Approved,"All documents verified, cleared for activation.",03-May-2025,Alisha Duffy
REV025885,APP89815220,approved,"KYC matches, no red flags.",2025-10-18 06:17:23,Donna Long
REV385295,APP40008053,Approved,Approved after manual PAN check.,07-Jan-2025,Jose White
REV370265,APP27949065,approved,,21-Feb-2026,Donna Long
REV670459,APP06806229,APPROVED,,2025-10-02 02:50:25,Catherine James
REV370912,APP26404043,Approved,"All documents verified, cleared for activation.",2026-03-17,Alisha Duffy
REV306986,APP76262596,APPROVED,Approved after manual PAN check.,2025-09-05 05:10:02,James Barrett
REV780467,APP77679151,Approved,"KYC matches, no red flags.",2025-04-23,Jose White
REV733655,APP32957550,approved,,09-26-2025,Jose White
REV434637,APP51647295,approved,"KYC matches, no red flags.",2026-06-25 07:45:24,Catherine James
REV099394,APP63180111,Approved,Approved after manual PAN check.,2025-12-10 11:59:53,Jose White
REV834773,APP56024267,APPROVED,"KYC matches, no red flags.",2025-07-09,Donna Long
REV662773,APP08910715,Approved,Approved after manual PAN check.,2025-01-11 16:10:30,Alisha Duffy
REV649274,APP44855257,Approved,"KYC matches, no red flags.",18-May-2025,Grant Glass
REV427484,APP43374615,APPROVED,"KYC matches, no red flags.",2025-11-07 20:41:57,Robin Coleman
REV729000,APP90321313,approved,"All documents verified, cleared for activation.",2026-04-12 12:38:15,Lance Mitchell MD
REV449943,APP09055193,approved,"All documents verified, cleared for activation.",2026-03-16,James Barrett
REV972213,APP23768799,Approved,"KYC matches, no red flags.",09-13-2025,Jose White
REV980241,APP30876659,APPROVED,Approved after manual PAN check.,15-Mar-2026,Jose White
REV718185,APP88492356,Approved,"KYC matches, no red flags.",01-08-2025,Lance Mitchell MD
REV773285,APP53655628,Approved,"All documents verified, cleared for activation.",10-16-2025,Alisha Duffy
REV382748,APP57595787,Approved,"All documents verified, cleared for activation.",04-06-2025,Catherine James
REV216970,APP92774332,Approved,"KYC matches, no red flags.",31/12/2025,Catherine James
REV352455,APP52902261,Approved,"All documents verified, cleared for activation.",2025-07-17,Grant Glass
REV573668,APP40545983,APPROVED,"KYC matches, no red flags.",2026-01-07,James Barrett
REV536342,APP45708855,Approved,"KYC matches, no red flags.",10-09-2025,Robin Coleman
REV639598,APP77419448,approved,Approved after manual PAN check.,23/12/2025,Donna Long
REV132396,APP57723344,APPROVED,"KYC matches, no red flags.",30/07/2025,Grant Glass
REV677143,APP72432572,Approved,"KYC matches, no red flags.",21/03/2026,Robin Coleman
REV354791,APP34472433,APPROVED,"KYC matches, no red flags.",13/11/2025,Catherine James
REV494044,APP74726286,approved,Approved after manual PAN check.,03-13-2026,Donna Long
REV521037,APP10876729,APPROVED,"KYC matches, no red flags.",01-19-2026,Robin Coleman
REV621332,APP72238505,APPROVED,Approved after manual PAN check.,2025-12-02,Lance Mitchell MD
REV949537,APP55837787,APPROVED,"KYC matches, no red flags.",09-15-2025,Catherine James
REV850550,APP56468888,APPROVED,Approved after manual PAN check.,10-Oct-2025,Lance Mitchell MD
REV980327,APP34399231,APPROVED,"All documents verified, cleared for activation.",2026-01-05,Lance Mitchell MD
REV351960,APP34460864,Approved,"KYC matches, no red flags.",07-30-2025,Grant Glass
REV496681,APP46720082,APPROVED,"All documents verified, cleared for activation.",2025-04-04,Robin Coleman
REV508039,APP36729581,approved,Approved after manual PAN check.,09-06-2025,James Barrett
REV273279,APP98662928,approved,Approved after manual PAN check.,05/01/2026,Lance Mitchell MD
REV485298,APP05547327,approved,"KYC matches, no red flags.",25/01/2025,Catherine James
REV355689,APP16037187,Approved,"KYC matches, no red flags.",2026-04-24,Catherine James
REV198614,APP19099291,APPROVED,"All documents verified, cleared for activation.",05-26-2026,Catherine James
REV596727,APP55752499,Approved,Approved after manual PAN check.,22/04/2025,Alisha Duffy
REV139803,APP39429589,APPROVED,"All documents verified, cleared for activation.",26/10/2025,Robin Coleman
REV527852,APP76044506,APPROVED,"KYC matches, no red flags.",2025-11-26,Catherine James
REV357727,APP29525472,approved,"KYC matches, no red flags.",2025-10-12,Grant Glass
REV047463,APP83234659,approved,,01-08-2025,Alisha Duffy
REV910313,APP95819397,approved,"KYC matches, no red flags.",12-08-2025,Donna Long
REV272127,APP15608419,Approved,Approved after manual PAN check.,2026-03-07,Catherine James
REV098476,APP49319731,Approved,"All documents verified, cleared for activation.",06-Mar-2026,Jose White
REV923165,APP93043350,approved,"KYC matches, no red flags.",17/08/2025,Alisha Duffy
REV733121,APP62412861,approved,Approved after manual PAN check.,2025-02-21 02:14:29,Lance Mitchell MD
REV779982,APP19349032,Approved,"KYC matches, no red flags.",2026-03-07,Catherine James
REV845249,APP65769642,Approved,Approved after manual PAN check.,05-30-2025,Lance Mitchell MD
REV678944,APP34775550,APPROVED,"All documents verified, cleared for activation.",02-16-2026,Jose White
REV787114,APP27528711,Approved,"KYC matches, no red flags.",2025-05-04 13:59:33,Catherine James
REV740496,APP65216154,Approved,"All documents verified, cleared for activation.",2025-06-06,Catherine James
REV245788,APP92327699,Approved,"All documents verified, cleared for activation.",18-Feb-2026,Grant Glass
REV011296,APP17188751,approved,"All documents verified, cleared for activation.",03-22-2026,Grant Glass
REV002769,APP26904835,approved,Approved after manual PAN check.,28/07/2025,Jose White
REV564697,APP47017814,Approved,"All documents verified, cleared for activation.",2025-05-07,Alisha Duffy
REV947362,APP61884325,Approved,"KYC matches, no red flags.",04-21-2026,Catherine James
REV395098,APP70723546,approved,Approved after manual PAN check.,2026-03-12,Alisha Duffy
REV372715,APP96452491,Approved,,2025-04-29,Robin Coleman
REV133678,APP73725140,Approved,"All documents verified, cleared for activation.",12/05/2025,Grant Glass
REV208913,APP06563541,Approved,Approved after manual PAN check.,2025-02-24 12:57:29,Grant Glass
REV054688,APP72233525,Approved,Approved after manual PAN check.,24/05/2026,Catherine James
REV999683,APP90518761,Approved,,2025-07-02,James Barrett
REV243983,APP44447859,Approved,"All documents verified, cleared for activation.",2025-01-13 17:24:36,Catherine James
REV472428,APP56156347,approved,Approved after manual PAN check.,2025-04-17 02:53:50,Catherine James
REV400751,APP76027913,Approved,Approved after manual PAN check.,2025-01-01 06:11:08,Grant Glass
REV008263,APP69714779,APPROVED,"KYC matches, no red flags.",2026-05-20 14:35:36,Alisha Duffy
REV583186,APP41309754,Approved,Approved after manual PAN check.,03-10-2026,James Barrett
REV735522,APP85979129,Approved,Approved after manual PAN check.,09-22-2025,Catherine James
REV015093,APP32699210,approved,"KYC matches, no red flags.",2026-03-31,James Barrett
REV462883,APP12745889,Approved,"KYC matches, no red flags.",04-Aug-2025,Jose White
REV841054,APP79473163,APPROVED,"All documents verified, cleared for activation.",26/03/2026,Lance Mitchell MD
REV876113,APP61692623,approved,"KYC matches, no red flags.",2025-04-19 12:23:46,Grant Glass
REV645216,APP19862760,approved,"KYC matches, no red flags.",10/07/2025,Catherine James
REV778655,APP17144510,Approved,Approved after manual PAN check.,2026-04-22 04:51:31,Lance Mitchell MD
REV959186,APP18216711,Approved,"KYC matches, no red flags.",2026-01-25 06:40:41,Donna Long
REV124224,APP69475295,Approved,"All documents verified, cleared for activation.",08-Sep-2025,Robin Coleman
REV391611,APP33269589,APPROVED,"All documents verified, cleared for activation.",2026-06-14,Catherine James
REV122405,APP05271773,Approved,Approved after manual PAN check.,09-12-2025,Donna Long
REV759125,APP21619467,approved,"All documents verified, cleared for activation.",30/04/2026,Grant Glass
REV358437,APP43830626,Approved,,2025-04-17,Robin Coleman
REV412087,APP78814740,approved,Approved after manual PAN check.,14/04/2026,Catherine James
REV373363,APP06860833,Approved,Approved after manual PAN check.,30-May-2025,James Barrett
REV987685,APP05230677,approved,Approved after manual PAN check.,18/06/2025,Alisha Duffy
REV625037,APP49464789,APPROVED,"All documents verified, cleared for activation.",2026-04-26 10:54:11,James Barrett
REV687941,APP91234518,APPROVED,,06/02/2026,Grant Glass
REV110491,APP78787186,Approved,Approved after manual PAN check.,02-11-2026,James Barrett
REV576137,APP59521041,APPROVED,Approved after manual PAN check.,2025-04-23,Lance Mitchell MD
REV536449,APP69285778,approved,"All documents verified, cleared for activation.",2025-04-16,Robin Coleman
REV191166,APP44036381,APPROVED,"KYC matches, no red flags.",02-20-2025,Catherine James
REV162813,APP52024994,APPROVED,Approved after manual PAN check.,03/08/2025,Lance Mitchell MD
REV496428,APP56971237,Approved,,05/04/2026,Donna Long
REV116646,APP10755095,APPROVED,Approved after manual PAN check.,2025-04-25 13:15:49,Lance Mitchell MD
REV046515,APP65090140,approved,"All documents verified, cleared for activation.",25/01/2025,Robin Coleman
REV112011,APP22388838,approved,"KYC matches, no red flags.",2025-12-04,James Barrett
REV781603,APP85235712,APPROVED,"All documents verified, cleared for activation.",06-14-2025,Alisha Duffy
REV707824,APP59528670,APPROVED,"KYC matches, no red flags.",2025-12-31 17:20:08,Grant Glass
REV718971,APP11674672,Approved,"All documents verified, cleared for activation.",17-Apr-2026,Robin Coleman
REV687236,APP04424409,approved,"KYC matches, no red flags.",01-23-2026,Donna Long
REV504084,APP34808764,approved,Approved after manual PAN check.,2025-01-09 07:29:23,Catherine James
REV744937,APP95588146,Approved,Approved after manual PAN check.,06-Sep-2025,James Barrett
REV606029,APP84369384,Approved,Approved after manual PAN check.,2025-12-01,Jose White
REV243323,APP79958110,approved,"All documents verified, cleared for activation.",02/10/2025,Alisha Duffy
REV594865,APP20636280,Approved,"All documents verified, cleared for activation.",07-Apr-2026,Donna Long
REV235368,APP67334677,APPROVED,Approved after manual PAN check.,10/01/2026,James Barrett
REV598185,APP30782658,APPROVED,"All documents verified, cleared for activation.",21-Oct-2025,Catherine James
REV222687,APP44192929,APPROVED,,2025-08-23 00:02:50,Donna Long
REV326483,APP81198911,APPROVED,"KYC matches, no red flags.",18/09/2025,Grant Glass
REV893226,APP90274252,approved,,2026-02-24 00:33:46,Catherine James
REV196923,APP29782630,Approved,Approved after manual PAN check.,03-29-2025,Grant Glass
REV462811,APP03518517,APPROVED,"All documents verified, cleared for activation.",2026-03-11 23:59:19,Catherine James
REV787825,APP04983078,Approved,Approved after manual PAN check.,08/02/2025,Alisha Duffy
REV726092,APP41183965,Approved,Approved after manual PAN check.,23-Nov-2025,Jose White
REV392929,APP43989374,APPROVED,"All documents verified, cleared for activation.",2025-10-01 23:05:31,James Barrett
REV358202,APP56623464,Approved,Approved after manual PAN check.,27-Sep-2025,Catherine James
REV758460,APP17316431,APPROVED,"All documents verified, cleared for activation.",2025-11-25,James Barrett
REV620493,APP02267276,Approved,"All documents verified, cleared for activation.",2026-02-12 22:25:12,Robin Coleman
REV514654,APP11460601,Approved,"KYC matches, no red flags.",26-Feb-2025,Jose White
REV361782,APP23592845,APPROVED,"All documents verified, cleared for activation.",11-15-2025,Robin Coleman
REV712713,APP32733987,APPROVED,Approved after manual PAN check.,05-09-2026,James Barrett
REV459190,APP11614026,Approved,Approved after manual PAN check.,09-16-2025,Grant Glass
REV756036,APP97671697,Approved,"KYC matches, no red flags.",2025-04-16,Lance Mitchell MD
REV786118,APP97909646,approved,"KYC matches, no red flags.",2026-01-04,Lance Mitchell MD
REV842411,APP41167920,APPROVED,Approved after manual PAN check.,02-Mar-2025,James Barrett
REV845206,APP57271384,approved,"KYC matches, no red flags.",04-09-2026,Donna Long
REV814164,APP59544802,APPROVED,,26/10/2025,Robin Coleman
REV933713,APP75729809,Approved,"All documents verified, cleared for activation.",2026-04-14,Lance Mitchell MD
REV698127,APP32557399,APPROVED,"All documents verified, cleared for activation.",2025-09-10,Grant Glass
REV245966,APP36238153,approved,"KYC matches, no red flags.",2025-09-19,Grant Glass
REV750995,APP20789276,APPROVED,"KYC matches, no red flags.",01-12-2026,Jose White
REV072591,APP53301899,approved,"All documents verified, cleared for activation.",10-08-2025,Donna Long
REV489029,APP66216936,Approved,Approved after manual PAN check.,29-Jun-2025,Robin Coleman
REV637705,APP90694718,Approved,Approved after manual PAN check.,2026-03-17,Catherine James
REV255880,APP13249825,APPROVED,"All documents verified, cleared for activation.",12-06-2025,Grant Glass
REV307709,APP69217440,APPROVED,"All documents verified, cleared for activation.",2025-07-19 08:34:48,Catherine James
REV731886,APP54417772,Approved,,22-Sep-2025,Alisha Duffy
REV674490,APP98105138,Approved,,2025-12-29 21:55:41,Jose White
REV464648,APP44107275,approved,"KYC matches, no red flags.",2025-02-16,Alisha Duffy
REV807978,APP08262815,APPROVED,"KYC matches, no red flags.",15-Sep-2025,James Barrett
REV536896,APP26770939,APPROVED,"KYC matches, no red flags.",08/09/2025,James Barrett
REV855291,APP58478612,APPROVED,"KYC matches, no red flags.",24-Jul-2025,Jose White
REV326361,APP93520089,approved,"All documents verified, cleared for activation.",2025-09-19,Alisha Duffy
REV505809,APP67346122,approved,"All documents verified, cleared for activation.",05-09-2026,Lance Mitchell MD
REV291758,APP87354706,APPROVED,"All documents verified, cleared for activation.",2025-06-26,Robin Coleman
REV549810,APP98317429,APPROVED,,06-28-2025,Robin Coleman
REV320556,APP36627677,APPROVED,Approved after manual PAN check.,23-Jan-2026,Lance Mitchell MD
REV119721,APP13225157,approved,Approved after manual PAN check.,2025-12-06,Alisha Duffy
REV551351,APP54657577,APPROVED,"All documents verified, cleared for activation.",2026-03-17 11:47:21,Grant Glass
REV652358,APP04852460,Approved,"KYC matches, no red flags.",06-28-2025,Alisha Duffy
REV903677,APP55166507,APPROVED,"All documents verified, cleared for activation.",2025-05-04,Donna Long
REV856744,APP48914993,approved,Approved after manual PAN check.,06-18-2025,Robin Coleman
REV669624,APP24488480,approved,Approved after manual PAN check.,2025-06-18,Catherine James
REV401867,APP00796245,Approved,Approved after manual PAN check.,25-Nov-2025,Catherine James
REV081216,APP94649453,approved,"All documents verified, cleared for activation.",24-Jun-2025,Robin Coleman
REV809714,APP01487987,Approved,"All documents verified, cleared for activation.",18-Jul-2025,Alisha Duffy
REV507861,APP65528527,APPROVED,"All documents verified, cleared for activation.",23/03/2025,James Barrett
REV962418,APP83257153,APPROVED,"All documents verified, cleared for activation.",2025-06-13,Jose White
REV059563,APP09481739,Approved,"KYC matches, no red flags.",2025-06-08 17:12:16,James Barrett
REV978702,APP21090304,approved,Approved after manual PAN check.,2026-06-16,Donna Long
REV919273,APP95208615,approved,,21-Feb-2026,Grant Glass
REV854656,APP78465110,APPROVED,Approved after manual PAN check.,2025-09-20,Donna Long
REV767848,APP66892637,APPROVED,"KYC matches, no red flags.",28-Jul-2025,Alisha Duffy
REV925281,APP70440926,APPROVED,"All documents verified, cleared for activation.",02/04/2025,Grant Glass
