bank_id,application_id,account_number_masked,ifsc,bank_name,verification_status
BNK893922,APP26033081,XXXXXXXX5574,CMLM0576207,Kotak Mahindra Bank,Verified
BNK044535,APP55915726,XXXXXXXX4384,SQNT0806581,punjab national bank,verified
BNK062186,APP59626159,XXXXXXXX5720,OZDH0054895,icici bank,verified
BNK436340,APP64783723,XXXXXXXX8122,IUKA0683064,PNB,verified
BNK341345,APP74540334,XXXXXXXX0891,KQQP0622910,Icici Bank Ltd,verified
BNK206778,APP72068164,XXXXXXXX5063,YYYY0815478,axis bank,verified
BNK850603,APP61664618,XXXXXXXX6923,RTML0549461,punjab national bank,verified
BNK888544,APP36645757,XXXXXXXX4097,QQJH0590419,axis bank,Verified
BNK899651,APP55350332,XXXXXXXX8200,JGRS0123160,Kotak Mahindra Bank,verified
BNK150309,APP63342830,XXXXXXXX9777,JOOA0834989,punjab national bank,verified
BNK260139,APP33957767,XXXXXXXX1155,ZBCP0311871,S.B.I.,verified
BNK323890,APP75847391,XXXXXXXX7323,lglr0471386,kotak bank,Verified
BNK717442,APP29797722,XXXXXXXX8554,SXTT0656279,Kotak Mahindra,verified
BNK313238,APP93684864,XXXXXXXX2627,BOPY0634486,icici bank,Verified
BNK959080,APP05854489,XXXXXXXX1410,IPKJ0066304,Kotak Mahindra Bank,verified
BNK967733,APP76361598,XXXXXXXX9226,HCTT0438801,state bank of india,verified
BNK311926,APP42984405,XXXXXXXX9074,KVAM0462376,Kotak Mahindra,Verified
BNK067184,APP12192250,XXXXXXXX0402,FCBF0467088,icici bank,Verified
BNK139508,APP78270754,XXXXXXXX3539,USZO0873564,punjab national bank,Verified
BNK354669,APP07255051,XXXXXXXX7589,DJYQ0965843,Kotak Mahindra,verified
BNK352818,APP84269276,XXXXXXXX5398,TELE0842293,kotak bank,Verified
BNK802230,APP25879382,XXXXXXXX4439,RHMY0651188,S.B.I.,Verified
BNK938071,APP98640053,XXXXXXXX3034,BCUD0539402,icici bank,Verified
BNK852626,APP27402122,XXXXXXXX5943,HEMV0104235,Axis Bank,verified
BNK375340,APP37894514,XXXXXXXX8673,FGUZ0068726,AXIS BANK,Verified
BNK958545,APP38469955,XXXXXXXX3699,KKLL0285920,HDFC BANK,verified
BNK623329,APP16651834,XXXXXXXX3214,LRIZ0959543,Punjab National Bank,verified
BNK779788,APP76775919,XXXXXXXX6332,AJCV0622229,ICICI BANK,Verified
BNK295495,APP50604636,XXXXXXXX6531,ANTW0810468,ICICI Bank,verified
BNK169037,APP44006890,XXXXXXXX1473,MMHU0205397,state bank of india,Verified
BNK888616,APP88105537,XXXXXXXX5464,HKPM0594394,Kotak Mahindra Bank,Verified
BNK705176,APP21487238,XXXXXXXX4217,VNFS0458528,hdfc bank,Verified
BNK774128,APP79148960,XXXXXXXX2717,UHQT0231019,ICICI BANK,Verified
BNK643734,APP46940929,XXXXXXXX9880,HXWT0788543,Kotak Mahindra,verified
BNK095397,APP29121815,XXXXXXXX0046,UDKV0572988,punjab national bank,Verified
BNK340472,APP70627147,XXXXXXXX1679,WZWB0217718,Punjab National Bank,verified
BNK707334,APP36704870,XXXXXXXX0255,WUVN0199792,state bank of india,verified
BNK426174,APP83172930,XXXXXXXX5927,MKUJ0399585,axis bank,Verified
BNK386591,APP16658981,XXXXXXXX8253,MCSS0919703,axis bank,Verified
BNK537504,APP07322302,XXXXXXXX0355,ZEGN0606696,Kotak Mahindra Bank,Verified
BNK937167,APP17402714,XXXXXXXX1696,FJAZ0776150,Hdfc bank Ltd,verified
BNK487090,APP28392547,XXXXXXXX4021,DBZM0453718,kotak bank,verified
BNK233569,APP27476186,XXXXXXXX0390,IMZC0157708,icici bank,verified
BNK802836,APP20051534,XXXXXXXX3337,EHFF0059819,punjab national bank,verified
BNK274369,APP46683037,XXXXXXXX0158,YISO0603400,SBI,Verified
BNK456510,APP40825152,XXXXXXXX0288,RZVJ0969474,icici bank,verified
BNK603854,APP86395528,XXXXXXXX0791,AEBP0279836,AXIS BANK,verified
BNK292325,APP95365095,XXXXXXXX7857,BGXL0859947,state bank of india,verified
BNK857585,APP63642670,XXXXXXXX3443,LFXI0371314,Hdfc bank Ltd,verified
BNK886959,APP97341018,XXXXXXXX6783,VQIC0699233,kotak bank,Verified
BNK533782,APP46263912,XXXXXXXX8187,KNXR0528770,Hdfc bank Ltd,verified
BNK738041,APP83598655,XXXXXXXX5094,APFU0430598,Axis Bank,verified
BNK535883,APP39178570,XXXXXXXX9728,ENSQ0500346,Axis Bank,verified
BNK877394,APP63107696,XXXXXXXX1002,AHXL0197380,ICICI BANK,verified
BNK194865,APP82487688,XXXXXXXX7153,NRTZ0454358,hdfc bank,verified
BNK019520,APP85009905,XXXXXXXX6233,KIIH0780540,Hdfc bank Ltd,verified
BNK989420,APP12053751,XXXXXXXX6688,AVXG0781418,PNB,Verified
BNK471366,APP99609369,XXXXXXXX3849,NDBV0520168,ICICI BANK,Verified
BNK840442,APP75137515,XXXXXXXX8356,XWGV0274662,Hdfc bank Ltd,Verified
BNK148536,APP92242644,XXXXXXXX3880,NNDQ0599948,Kotak Mahindra,verified
BNK678146,APP77996651,XXXXXXXX2875,YJHZ0262339,PNB,Verified
BNK971435,APP43265027,XXXXXXXX2357,ZXVC0523858,Icici Bank Ltd,verified
BNK616944,APP03747678,XXXXXXXX9640,dmyq0465419,Kotak Mahindra,verified
BNK547322,APP01835507,XXXXXXXX0551,PNKY0422038,HDFC BANK,verified
BNK344183,APP16261166,XXXXXXXX4094,MFKU0945710,Hdfc bank Ltd,Verified
BNK780983,APP43080046,XXXXXXXX5204,gtlq0121722,SBI,verified
BNK568734,APP30462269,XXXXXXXX4936,QBUT0992963,Punjab National Bank,Verified
BNK205855,APP86827130,XXXXXXXX7427,BJGW0442610,ICICI Bank,Verified
BNK745836,APP10732129,XXXXXXXX6630,XZBS0518819,Icici Bank Ltd,verified
BNK309145,APP25415340,XXXXXXXX1607,QZTX0854853,Axis Bank,Verified
BNK829840,APP69256390,XXXXXXXX5578,YIZB0528831,State Bank of India,verified
BNK884565,APP53936487,XXXXXXXX3578,GYJT0208923,kotak bank,Verified
BNK278167,APP37851887,XXXXXXXX4732,XIZD0185494,Axis Bank,verified
BNK581693,APP37337469,XXXXXXXX8889,OEMU0061849,Kotak Mahindra Bank,Verified
BNK624192,APP09279265,XXXXXXXX3785,XIRX0831728,S.B.I.,Verified
BNK860117,APP41847268,XXXXXXXX7636,SBQZ0386915,AXIS BANK,verified
BNK464563,APP81487665,XXXXXXXX7367,CJZJ0888425,HDFC Bank,Verified
BNK577882,APP86449769,XXXXXXXX8010,KSRF0438121,Punjab National Bank,Verified
BNK830033,APP45795091,XXXXXXXX8892,MYTI0001645,Axis Bank,Verified
BNK992924,APP97315250,XXXXXXXX9823,SFNZ0812232,icici bank,Verified
BNK977556,APP91087129,XXXXXXXX8706,YRBS0193524,HDFC Bank,verified
BNK750441,APP79748143,XXXXXXXX8005,OPNU0714191,ICICI BANK,Verified
BNK193670,APP74200884,XXXXXXXX7590,VSEX0930335,HDFC BANK,verified
BNK588865,APP31396360,XXXXXXXX5625,XIRY0256227,state bank of india,verified
BNK148197,APP74119611,XXXXXXXX6392,OPCE0305505,ICICI BANK,Verified
BNK050849,APP05844930,XXXXXXXX4530,NCBJ0866197,Kotak Mahindra Bank,Verified
BNK332202,APP73802819,XXXXXXXX4230,ZPGP0294971,Icici Bank Ltd,verified
BNK220002,APP49565769,XXXXXXXX7087,YXRW0020149,kotak bank,verified
BNK333637,APP99201400,XXXXXXXX3119,FOZF0096553,AXIS BANK,Verified
BNK459762,APP37579077,XXXXXXXX2665,QGYK0143392,icici bank,verified
BNK691226,APP54673309,XXXXXXXX2073,IVEK0484393,ICICI Bank,verified
BNK002566,APP94038412,XXXXXXXX9963,lwgu0273409,Kotak Mahindra Bank,verified
BNK400386,APP26315855,XXXXXXXX4946,HFLF0197392,HDFC Bank,verified
BNK707133,APP46424947,XXXXXXXX0555,ASMS0250405,state bank of india,verified
BNK950778,APP72259367,XXXXXXXX8135,WUWR0589641,Axis Bank,verified
BNK715869,APP26649987,XXXXXXXX5712,ITEX0231860,S.B.I.,Verified
BNK575524,APP45819900,XXXXXXXX9193,VPFW0878139,kotak bank,verified
BNK514585,APP94167557,XXXXXXXX9973,KSWJ0374776,kotak bank,Verified
BNK912359,APP10225217,XXXXXXXX1506,NAQE0345642,AXIS BANK,Verified
BNK059410,APP08294077,XXXXXXXX1884,FSHU0539479,kotak bank,verified
BNK262371,APP37502677,XXXXXXXX2224,VXJY0001103,kotak bank,verified
BNK358889,APP95940343,XXXXXXXX7178,WDRB0570433,punjab national bank,Verified
BNK003101,APP74523544,XXXXXXXX2074,SHUU0763627,Kotak Mahindra,verified
BNK481796,APP95032941,XXXXXXXX3142,muff0077443,axis bank,Verified
BNK555286,APP99601910,XXXXXXXX8837,HBSJ0438126,S.B.I.,Verified
BNK359361,APP71824908,XXXXXXXX9725,QIKC0912577,PNB,verified
BNK469188,APP25322447,XXXXXXXX9302,EAGI0154669,kotak bank,verified
BNK838896,APP01969907,XXXXXXXX1867,LIZE0553429,ICICI Bank,Verified
BNK911551,APP21427074,XXXXXXXX0622,pwwa0846797,HDFC Bank,verified
BNK421743,APP50928207,XXXXXXXX4406,KYOS0317348,AXIS BANK,Verified
BNK042331,APP41038916,XXXXXXXX5551,mcqo0296903,State Bank of India,Verified
BNK120798,APP90011651,XXXXXXXX6381,SFHM0625691,punjab national bank,verified
BNK770219,APP50139651,XXXXXXXX1053,CRQC0018732,axis bank,verified
BNK578083,APP24084742,XXXXXXXX9926,ZWCE0057996,punjab national bank,Verified
BNK984656,APP84245224,XXXXXXXX7959,IIBX0010172,S.B.I.,Verified
BNK765316,APP80380649,XXXXXXXX2170,DGTX0315749,PNB,verified
BNK064726,APP73669765,XXXXXXXX1668,AXMX0446718,Punjab National Bank,Verified
BNK313883,APP86263394,XXXXXXXX6283,XKWY0543874,axis bank,Verified
BNK487692,APP45525391,XXXXXXXX4444,PYNL0341763,Kotak Mahindra Bank,verified
BNK391676,APP90250190,XXXXXXXX7824,WFZD0523697,Axis Bank,Verified
BNK018745,APP81580472,XXXXXXXX2171,WHGU0372988,ICICI Bank,Verified
BNK586420,APP67842039,XXXXXXXX5927,QNQU0069336,Kotak Mahindra Bank,Verified
BNK578114,APP68733641,XXXXXXXX8016,ZQGR0677862,S.B.I.,verified
BNK046534,APP52411967,XXXXXXXX6435,IZED0027908,state bank of india,Verified
BNK911454,APP58416056,XXXXXXXX2085,ATOZ0859847,HDFC Bank,Verified
BNK251093,APP40280999,XXXXXXXX9491,HQCK0823865,Kotak Mahindra,Verified
BNK893809,APP56151866,XXXXXXXX3684,FZOP0043153,SBI,verified
BNK002108,APP37864842,XXXXXXXX4401,GPRC0096110,S.B.I.,verified
BNK267646,APP46691789,XXXXXXXX0333,BTHQ0400972,kotak bank,Verified
BNK240918,APP89815220,XXXXXXXX2253,SJXE0275299,icici bank,verified
BNK737867,APP40008053,XXXXXXXX5496,PUIG0849231,punjab national bank,Verified
BNK945446,APP27949065,XXXXXXXX9888,RORJ0062604,state bank of india,verified
BNK170424,APP06806229,XXXXXXXX2353,DFGP0691797,icici bank,Verified
BNK633470,APP26404043,XXXXXXXX2307,PLQI0136603,Hdfc bank Ltd,verified
BNK176056,APP76262596,XXXXXXXX6413,DKTT0665859,Icici Bank Ltd,Verified
BNK718396,APP77679151,XXXXXXXX6254,ucub0300500,Axis Bank,verified
BNK971525,APP32957550,XXXXXXXX3929,XCZY0524690,SBI,verified
BNK101049,APP51647295,XXXXXXXX1680,LECK0597278,Hdfc bank Ltd,Verified
BNK948567,APP63180111,XXXXXXXX0789,VBLX0715579,kotak bank,Verified
BNK907026,APP56024267,XXXXXXXX4388,SMQN0831791,PNB,verified
BNK112724,APP08910715,XXXXXXXX7878,UYNL0065535,icici bank,Verified
BNK426699,APP44855257,XXXXXXXX5648,GWPT0832268,hdfc bank,Verified
BNK000545,APP43374615,XXXXXXXX0924,SQAP0751572,ICICI Bank,verified
BNK287602,APP90321313,XXXXXXXX6969,WUHO0137906,HDFC Bank,verified
BNK621011,APP09055193,XXXXXXXX0300,BGBL0453958,HDFC BANK,Verified
BNK691886,APP23768799,XXXXXXXX7587,YHIN0577882,HDFC Bank,verified
BNK938789,APP30876659,XXXXXXXX8114,MJSO0766407,kotak bank,verified
BNK823593,APP88492356,XXXXXXXX7000,ZVEL0607897,AXIS BANK,verified
BNK372020,APP53655628,XXXXXXXX2922,VEEH0861650,icici bank,Verified
BNK632661,APP57595787,XXXXXXXX7448,SVWP0100556,Kotak Mahindra,Verified
BNK087230,APP92774332,XXXXXXXX3961,ZRRJ0644758,punjab national bank,verified
BNK427529,APP52902261,XXXXXXXX5548,OTPK0769479,HDFC Bank,Verified
BNK151695,APP40545983,XXXXXXXX9742,FKLA0286612,Punjab National Bank,Verified
BNK128883,APP45708855,XXXXXXXX7987,VASQ0853277,PNB,Verified
BNK605941,APP77419448,XXXXXXXX1332,ALGH0428764,kotak bank,Verified
BNK885993,APP57723344,XXXXXXXX3844,STEX0711734,HDFC Bank,Verified
BNK494452,APP72432572,XXXXXXXX5651,EUXC0794247,SBI,verified
BNK996692,APP34472433,XXXXXXXX9456,dnvn0366363,kotak bank,Verified
BNK094325,APP74726286,XXXXXXXX9498,YANO0082733,Kotak Mahindra Bank,Verified
BNK187265,APP10876729,XXXXXXXX9745,OWRP0402648,Kotak Mahindra Bank,verified
BNK052261,APP72238505,XXXXXXXX6881,ZMCA0658463,Kotak Mahindra Bank,verified
BNK255831,APP55837787,XXXXXXXX2189,CPTK0605837,Icici Bank Ltd,verified
BNK312267,APP56468888,XXXXXXXX1431,XZCJ0094394,S.B.I.,verified
BNK442253,APP34399231,XXXXXXXX1457,ZWRS0441996,ICICI Bank,verified
BNK140856,APP34460864,XXXXXXXX9810,QKDU0065926,punjab national bank,Verified
BNK564953,APP46720082,XXXXXXXX6214,JOFW0065298,AXIS BANK,verified
BNK479714,APP36729581,XXXXXXXX5768,FBGQ0614130,PNB,verified
BNK642460,APP98662928,XXXXXXXX0194,QIZO0399510,HDFC BANK,Verified
BNK994674,APP05547327,XXXXXXXX8248,BIEN0687923,HDFC BANK,verified
BNK188288,APP16037187,XXXXXXXX4012,GSAN0699140,HDFC Bank,verified
BNK218219,APP19099291,XXXXXXXX7699,JXQN0595586,icici bank,Verified
BNK039263,APP55752499,XXXXXXXX9706,UXAJ0353353,Kotak Mahindra Bank,Verified
BNK703756,APP39429589,XXXXXXXX4882,SGBE0058792,HDFC Bank,verified
BNK029800,APP76044506,XXXXXXXX6438,QGPD0922162,state bank of india,Verified
BNK229181,APP29525472,XXXXXXXX8924,MJKN0036831,hdfc bank,verified
BNK167055,APP83234659,XXXXXXXX7144,VEBZ0849662,state bank of india,Verified
BNK552533,APP95819397,XXXXXXXX1116,JGBN0021941,Axis Bank,Verified
BNK674329,APP15608419,XXXXXXXX4522,LVHW0245469,Kotak Mahindra Bank,verified
BNK817824,APP49319731,XXXXXXXX4428,CJSU0577732,HDFC Bank,verified
BNK847363,APP93043350,XXXXXXXX0112,LKHO0464936,State Bank of India,Verified
BNK090595,APP62412861,XXXXXXXX2552,GLEH0533468,HDFC Bank,Verified
BNK053111,APP19349032,XXXXXXXX2177,KOID0468154,ICICI Bank,verified
BNK472918,APP65769642,XXXXXXXX7104,HJGF0532042,S.B.I.,verified
BNK816680,APP34775550,XXXXXXXX3623,MVRR0074493,kotak bank,verified
BNK452205,APP27528711,XXXXXXXX0158,PLZJ0336956,kotak bank,Verified
BNK730016,APP65216154,XXXXXXXX6657,HGZK0458557,AXIS BANK,Verified
BNK667538,APP92327699,XXXXXXXX4249,LSVE0622675,Kotak Mahindra Bank,verified
BNK540897,APP17188751,XXXXXXXX2439,CCCL0655159,Kotak Mahindra Bank,verified
BNK448248,APP26904835,XXXXXXXX8210,WRMV0273585,HDFC Bank,verified
BNK164937,APP47017814,XXXXXXXX4484,FBAS0751710,icici bank,Verified
BNK075934,APP61884325,XXXXXXXX5800,VZXP0162193,axis bank,Verified
BNK329301,APP70723546,XXXXXXXX7542,QWHG0558294,kotak bank,verified
BNK178401,APP96452491,XXXXXXXX4044,QGUW0101092,Kotak Mahindra,verified
BNK289963,APP73725140,XXXXXXXX0146,SJOR0380789,S.B.I.,Verified
BNK120865,APP06563541,XXXXXXXX2603,KQFH0642940,icici bank,verified
BNK852090,APP72233525,XXXXXXXX2077,RHJM0215642,State Bank of India,verified
BNK054667,APP90518761,XXXXXXXX5315,QUWC0455669,PNB,Verified
BNK040209,APP44447859,XXXXXXXX7937,QAFW0592109,hdfc bank,verified
BNK494486,APP56156347,XXXXXXXX9034,UUCS0439370,Punjab National Bank,verified
BNK087274,APP76027913,XXXXXXXX9677,ZYGD0453583,SBI,verified
BNK416615,APP69714779,XXXXXXXX9945,BBEB0375666,SBI,verified
BNK555288,APP41309754,XXXXXXXX4157,LYZG0478796,hdfc bank,Verified
BNK272449,APP85979129,XXXXXXXX6593,FZDR0102950,punjab national bank,verified
BNK524754,APP32699210,XXXXXXXX6798,IPHX0269309,Kotak Mahindra,Verified
BNK613049,APP12745889,XXXXXXXX5854,lnrw0211594,Punjab National Bank,verified
BNK635669,APP79473163,XXXXXXXX9774,SPCD0764501,S.B.I.,Verified
BNK478653,APP61692623,XXXXXXXX6464,TOYO0878002,State Bank of India,verified
BNK661786,APP19862760,XXXXXXXX8019,UZUE0956443,Hdfc bank Ltd,Verified
BNK107819,APP17144510,XXXXXXXX4401,WYUV0296872,HDFC Bank,verified
BNK903507,APP18216711,XXXXXXXX9355,BJPS0187277,kotak bank,verified
BNK757262,APP69475295,XXXXXXXX3230,XTPC0464776,ICICI BANK,verified
BNK166430,APP33269589,XXXXXXXX1571,SVDI0415131,kotak bank,Verified
BNK678705,APP05271773,XXXXXXXX3075,WTWP0483556,axis bank,verified
BNK278830,APP21619467,XXXXXXXX3240,QMSQ0397137,icici bank,verified
BNK835509,APP43830626,XXXXXXXX8567,ISAI0357937,Icici Bank Ltd,Verified
BNK164313,APP78814740,XXXXXXXX3680,RFMU0689903,axis bank,Verified
BNK266511,APP06860833,XXXXXXXX5895,RPWB0811899,axis bank,verified
BNK643514,APP05230677,XXXXXXXX2719,HKBE0811668,PNB,verified
BNK953349,APP49464789,XXXXXXXX8733,LCVW0652733,State Bank of India,verified
BNK175777,APP91234518,XXXXXXXX7543,YPZX0817534,axis bank,verified
BNK042302,APP78787186,XXXXXXXX4117,NXLM0193205,axis bank,Verified
BNK618575,APP59521041,XXXXXXXX1483,GFXC0790549,Kotak Mahindra Bank,verified
BNK369505,APP69285778,XXXXXXXX9497,QRTN0104471,punjab national bank,verified
BNK216021,APP44036381,XXXXXXXX7424,PVKD0321903,Axis Bank,verified
BNK882495,APP52024994,XXXXXXXX2571,HOCJ0696272,Axis Bank,Verified
BNK692623,APP56971237,XXXXXXXX6512,RAIY0306005,state bank of india,verified
BNK307774,APP10755095,XXXXXXXX6881,FWYO0259145,Icici Bank Ltd,Verified
BNK928419,APP65090140,XXXXXXXX7460,CGZS0887440,HDFC Bank,verified
BNK693253,APP22388838,XXXXXXXX3686,uqbd0269921,HDFC Bank,verified
BNK744212,APP85235712,XXXXXXXX0111,MSGP0571761,state bank of india,Verified
BNK789106,APP59528670,XXXXXXXX2187,JHAZ0574459,ICICI Bank,Verified
BNK620103,APP11674672,XXXXXXXX1212,NPYJ0853519,Kotak Mahindra,Verified
BNK317152,APP04424409,XXXXXXXX4325,TEUI0096355,SBI,verified
BNK183384,APP34808764,XXXXXXXX3309,GBVU0591642,Hdfc bank Ltd,verified
BNK693557,APP95588146,XXXXXXXX4566,YEJQ0184114,State Bank of India,Verified
BNK729581,APP84369384,XXXXXXXX5095,KMJC0681952,ICICI Bank,Verified
BNK380425,APP79958110,XXXXXXXX3806,PWLP0289526,PNB,verified
BNK576450,APP20636280,XXXXXXXX5722,VXCY0825876,SBI,Verified
BNK367580,APP67334677,XXXXXXXX4106,ACGE0733134,hdfc bank,verified
BNK089683,APP30782658,XXXXXXXX0653,LVRY0889142,Kotak Mahindra,Verified
BNK277337,APP44192929,XXXXXXXX3697,ZBYF0087053,HDFC Bank,verified
BNK101563,APP81198911,XXXXXXXX4464,URUK0498803,Kotak Mahindra Bank,Verified
BNK784424,APP90274252,XXXXXXXX1113,OMFF0408514,S.B.I.,verified
BNK305494,APP29782630,XXXXXXXX6645,LHRD0788030,Punjab National Bank,Verified
BNK566580,APP03518517,XXXXXXXX4791,XDWB0230667,S.B.I.,verified
BNK559184,APP04983078,XXXXXXXX9201,WYHB0121898,icici bank,Verified
BNK791647,APP41183965,XXXXXXXX1014,NSLR0484429,axis bank,Verified
BNK900772,APP43989374,XXXXXXXX1113,MHAE0864562,axis bank,verified
BNK082908,APP56623464,XXXXXXXX8635,HWUF0652948,HDFC Bank,verified
BNK098827,APP17316431,XXXXXXXX4672,ILCU0291969,hdfc bank,Verified
BNK306391,APP02267276,XXXXXXXX6654,XUMA0653022,HDFC BANK,verified
BNK367325,APP11460601,XXXXXXXX9040,NMEB0656101,AXIS BANK,Verified
BNK956774,APP23592845,XXXXXXXX2716,HSHT0849283,hdfc bank,Verified
BNK164861,APP32733987,XXXXXXXX2519,VOOO0198789,ICICI Bank,Verified
BNK861846,APP11614026,XXXXXXXX8027,xlsy0676726,hdfc bank,verified
BNK672954,APP97671697,XXXXXXXX8194,XNPD0470306,Kotak Mahindra Bank,Verified
BNK371605,APP97909646,XXXXXXXX3416,VJBJ0732174,Axis Bank,Verified
BNK307389,APP41167920,XXXXXXXX7642,BWQF0564883,ICICI Bank,Verified
BNK299004,APP57271384,XXXXXXXX9872,QYBB0219971,ICICI Bank,Verified
BNK700586,APP59544802,XXXXXXXX0253,BUFV0484214,Punjab National Bank,verified
BNK185461,APP75729809,XXXXXXXX3757,RIOD0808284,Axis Bank,Verified
BNK624081,APP32557399,XXXXXXXX4736,QWWS0494918,punjab national bank,verified
BNK666788,APP36238153,XXXXXXXX6014,XOXQ0416885,Punjab National Bank,Verified
BNK735136,APP20789276,XXXXXXXX7221,NCCV0450689,ICICI Bank,Verified
BNK470055,APP53301899,XXXXXXXX2306,YUUQ0807822,Kotak Mahindra,Verified
BNK002626,APP66216936,XXXXXXXX4957,GIYM0143492,S.B.I.,verified
BNK163170,APP90694718,XXXXXXXX8622,BSQB0203878,PNB,Verified
BNK040581,APP13249825,XXXXXXXX4575,ZCCP0609567,state bank of india,Verified
BNK776292,APP69217440,XXXXXXXX8604,DBSE0138885,PNB,verified
BNK219178,APP54417772,XXXXXXXX2159,UCWT0116067,Kotak Mahindra,Verified
BNK722576,APP98105138,XXXXXXXX9501,TZHI0616310,Icici Bank Ltd,Verified
BNK144440,APP44107275,XXXXXXXX4530,RNYS0568396,punjab national bank,verified
BNK717233,APP08262815,XXXXXXXX8096,QQGL0650429,Hdfc bank Ltd,Verified
BNK614084,APP26770939,XXXXXXXX4239,CMKN0934203,hdfc bank,Verified
BNK185358,APP58478612,XXXXXXXX8395,FLKY0958685,Kotak Mahindra Bank,verified
BNK918435,APP93520089,XXXXXXXX3963,HQAT0376243,Kotak Mahindra,verified
BNK650537,APP67346122,XXXXXXXX7852,BFWW0217417,Hdfc bank Ltd,verified
BNK900770,APP87354706,XXXXXXXX8946,SPPC0162247,HDFC BANK,Verified
BNK962972,APP98317429,XXXXXXXX0838,XVDB0970810,Kotak Mahindra Bank,verified
BNK407418,APP36627677,XXXXXXXX4972,xlyb0566507,Icici Bank Ltd,verified
BNK887246,APP13225157,XXXXXXXX4296,WUCA0520725,SBI,verified
BNK940792,APP54657577,XXXXXXXX8868,LJAL0447864,ICICI BANK,Verified
BNK782928,APP04852460,XXXXXXXX1156,bpcl0253772,Icici Bank Ltd,verified
BNK120779,APP55166507,XXXXXXXX5077,KHUD0266024,Punjab National Bank,Verified
BNK393280,APP48914993,XXXXXXXX6106,FPHQ0071644,Hdfc bank Ltd,verified
BNK749479,APP24488480,XXXXXXXX6062,LHQE0613457,axis bank,Verified
BNK594350,APP00796245,XXXXXXXX9613,MHRA0569628,axis bank,verified
BNK580646,APP94649453,XXXXXXXX2987,FAKF0471934,Axis Bank,Verified
BNK857702,APP01487987,XXXXXXXX7258,ZAPQ0519176,S.B.I.,verified
BNK802799,APP65528527,XXXXXXXX5151,QCPY0066358,Axis Bank,verified
BNK833690,APP83257153,XXXXXXXX0037,VPZF0461325,axis bank,Verified
BNK650068,APP09481739,XXXXXXXX6809,CHGJ0245830,icici bank,Verified
BNK589826,APP21090304,XXXXXXXX1263,WEQO0999583,SBI,Verified
BNK132231,APP95208615,XXXXXXXX4434,FERI0244269,state bank of india,verified
BNK166678,APP78465110,XXXXXXXX7393,ZGHZ0228639,kotak bank,verified
BNK167847,APP66892637,XXXXXXXX2023,DDOK0106210,Kotak Mahindra,Verified
BNK449730,APP70440926,XXXXXXXX2744,BXLT0743827,kotak bank,verified
BNK893693,APP20135907,XXXXXXXX9562,KPUQ0386848,Icici Bank Ltd,Verified
BNK059052,APP85454548,XXXXXXXX7712,VIKF0036763,hdfc bank,Verified
BNK042138,APP81852422,XXXXXXXX8048,RHAT0159346,PNB,verified
BNK911741,APP71260369,XXXXXXXX6209,sese0149919,punjab national bank,Verified
BNK938457,APP17319221,XXXXXXXX0386,HUEY0038097,ICICI Bank,verified
BNK809991,APP38308431,XXXXXXXX8260,QIQV0839874,Hdfc bank Ltd,verified
BNK288520,APP01052817,XXXXXXXX0879,CENG0374443,HDFC BANK,verified
BNK542308,APP02515546,XXXXXXXX0821,UKNW0524385,SBI,Verified
BNK100613,APP19024333,XXXXXXXX1731,RLSW0129981,Kotak Mahindra,verified
BNK979762,APP50707096,XXXXXXXX5061,ZQTF0807420,PNB,Verified
